countrycode|language|isofficial|percentage
NRU|Tuvalu|0|8.5
NPL|Tharu|0|5.4000001
NIC|Sumo|0|0.2
NER|Ful|0|9.6999998
NGA|Ful|0|11.3
NOR|Swedish|0|0.30000001
CIV|Kru|0|10.5
PAK|Saraiki|0|9.8000002
PLW|Chinese|0|1.6
PAN|Cuna|0|2
PRY|German|0|0.89999998
MNP|Korean|0|6.5
POL|Belorussian|0|0.5
FRA|Italian|0|0.40000001
REU|Malagasy|0|1.4
ROM|German|0|0.40000001
SWE|Arabic|0|0.80000001
DEU|Italian|0|0.69999999
ZMB|Lozi|0|6.4000001
SEN|Diola|0|5
SLE|Kono-vai|0|5.0999999
SVK|Czech and Moravian|0|1.1
SDN|Beja|0|6.4000001
FIN|Estonian|0|0.2
CHE|Romansh|1|0.60000002
TWN|Ami|0|0.60000002
TZA|Haya|0|5.9000001
DNK|German|0|0.5
THA|Malay|0|3.5999999
TGO|Kotokoli|0|5.6999998
TCD|Kanem-bornu|0|9
CZE|Polish|0|0.60000002
TKM|Kazakh|0|2
UGA|Soga|0|8.1999998
UKR|Bulgariana|0|0.30000001
HUN|Serbo-Croatian|0|0.2
UZB|Kazakh|0|3.8
BLR|Polish|0|0.60000002
RUS|Chuvash|0|0.89999998
VNM|Muong|0|1.5
EST|Belorussian|0|1.4
USA|German|0|0.69999999
ZWE|Nyanja|0|2.2
AFG|Balochi|0|0.89999998
AGO|Nyaneka-nkhumbi|0|5.4000001
AUS|Arabic|0|1
BGD|Khasi|0|0.1
BEL|German|1|1
BEN|Bariba|0|8.6999998
BWA|Ndebele|0|1.3
BRA|Indian Languages|0|0.2
BFA|Dagara|0|3.0999999
ERI|Bilin|0|3
ZAF|English|1|8.5
ETH|Somali|0|4.0999999
PHL|Bicol|0|5.6999998
GMB|Soninke|0|7.5999999
GEO|Osseetti|0|2.4000001
GHA|Gurma|0|3.3
GUM|Japanese|0|2
GTM|Mam|0|2.7
GIN|Kpelle|0|4.5999999
GNB|Malinke|0|6.9000001
HKG|Chiu chau|0|1.4
IDN|Minangkabau|0|2.4000001
IND|Tamil|0|6.3000002
IRQ|Persian|0|0.80000001
IRN|Luri|0|4.3000002
ITA|German|0|0.5
AUT|Slovene|0|0.40000001
JPN|Philippene Languages|0|0.1
YUG|Slovak|0|0.69999999
CMR|Tikar|0|7.4000001
CAN|German|0|1.6
KAZ|Uzbek|0|2.3
KEN|Kalenjin|0|10.8
CAF|Sara|0|6.4000001
CHN|Miao|0|0.69999999
KGZ|Tatar|0|1.3
COL|Caribbean|0|0.1
COM|Comorian-Swahili|0|0.5
COG|Punu|0|2.9000001
COD|Zande|0|6.0999999
LVA|Polish|0|2.0999999
LBR|Kru|0|7.1999998
LTU|Ukrainian|0|1.1
LUX|German|1|2.3
MKD|Serbo-Croatian|0|2
MYS|English|0|1.6
MLI|Tamashek|0|7.3000002
MRT|Ful|0|1.2
MUS|Tamil|0|0.80000001
MEX|Mixtec|0|0.60000002
FSM|Yap|0|5.8000002
MDA|Bulgariana|0|1.6
MNG|Buryat|0|1.7
MOZ|Shona|0|6.5
MMR|Mon|0|2.4000001
NAM|Herero|0|8
NRU|English|1|7.5
NPL|Tamang|0|4.9000001
